id,organisation_id,name,slug,description,primary_category_id,lifecycle_status,access_model,open_source_url,website,launched_year,last_checked_at
prod_001,org_001,CAIMS,caims,Customer and asset information; network surveys; connections; digital twin,cat_distribution_utility_operations,active,commercial_proprietary,,https://beaconpowerservices.com/en/solutions/caims,,2026-07-30
prod_002,org_001,Adora,adora,Grid operations; outage and loss analytics; field work; commercial operations,cat_distribution_utility_operations,active,commercial_proprietary,,https://beaconpowerservices.com/en/solutions/adora,,2026-07-30
prod_003,org_001,Xepp,xepp,Consumption insights; payments; customer engagement; distributed solar offers,cat_retail_metering_billing_payments,active,public_access,,https://www.beaconpowerservices.com/en/solutions/xepp,,2026-07-30
prod_004,org_002,PAM-AI,pam-ai,"Real-time monitoring, smart tariffs, remote device control, payment integration and demand response",cat_paygo_minigrid_operations,active,not_publicly_documented,,https://www.pamafrica.com/,,2026-07-30
prod_005,org_003,Pai Enterprise,pai-enterprise,"Energy monitoring, analytics, sizing optimisation, anomaly detection and multi-source orchestration",cat_ci_behind_meter,active,commercial_service,,https://www.powerlabstech.com/pai-enterprise/software,2025,2026-07-30
prod_00904b9e2148c62a,org_fc7c0c72d1969875,Adroit M2M and IoT Platform,adroit-m2m-and-iot-platform,"SCADA and IoT rapid-development platform for secure device integration, data logging and operational dashboards across energy and other industrial applications.",cat_data_interoperability_security,active,commercial,,https://adroitscada.com/adroit-m2m-and-iiot-platform/,,2026-08-02
prod_01e0b6c0d126d66c,org_d669749a39dbc6b6,JSE Ventures Carbon Market,jse-ventures-carbon-market,Digital market providing access to carbon credits and renewable-energy certificates for African buyers and sellers.,cat_carbon_mrv_reporting,active,commercial,,https://www.jse.co.za/services/jse-ventures-carbon-market,,2026-08-02
prod_033fbcf0e9b1c951,org_2744e404ad22d210,Global Electrification Platform Explorer,global-electrification-platform-explorer,Web mapping application for exploring least-cost electrification scenarios and technology mixes.,cat_planning_geospatial,active,public,,https://electrifynow.energydata.info/,,2026-08-02
prod_04226a46eb948cbc,org_6894f264f4bd16ed,ENERGIC EV Charging Platform,energic-ev-charging-platform,End-to-end EV-charging software for network operations and driver charging applications.,cat_emobility_battery_networks,active,commercial,,https://www.energiccharge.com/,,2026-08-02
prod_09961473d83843e4,org_c196bc963028ee6e,IRENA FlexTool,irena-flextool,Open-source power-system flexibility assessment tool used after capacity-expansion modelling.,cat_forecasting_flexibility_der,active,open_source,,https://climatecompatiblegrowth.com/international-partnerships/data-and-tools/modelling-tools-and-frameworks/,,2026-08-02
