id,subject_type,subject_id,predicate,value,source_id,evidence_status,extracted_by,extractor_run_id,reviewed_by,reviewed_at,valid_from,valid_to,notes
asrt_07227453704c923a,deployment,dep_002,started_year,2023,src_72a68084f5f1f2f3,independently_evidenced,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,AI-assisted source review candidate; human editorial approval required. Legacy ID: DEP-002. Source locator and limits: AFD states that programme support for the AEDC–BPS partnership began in 2023.
asrt_07845759e110e814,deployment,dep_003,country_iso2,NG,src_91c1fac8b3e57eb7,independently_evidenced,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,"AI-assisted source review candidate; human editorial approval required. Legacy ID: DEP-003. Source locator and limits: Digital Energy states that PAM-AI created demand-side-response programmes for KEDCO in Nigeria and labels the 2025 project a scale-up with active deployments. This is programme evidence, not customer confirmation."
asrt_08ef007c6c4a2234,organisation,org_001,description,"Distribution utility digitisation, grid mapping, customer and asset systems",src_3cbec379ee14aa70,independently_evidenced,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,AI-assisted source review candidate; human editorial approval required. Legacy ID: ORG-001. Source locator and limits: The report identifies BPS as an African energy-technology start-up operating in Nigeria and describes its grid-management software. The single-country headquarters field remains unresolved.
asrt_0a6dca967b74a800,organisation,org_003,country_of_origin,NG,src_b0a509af628fb050,independently_evidenced,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,AI-assisted source review candidate; human editorial approval required. Legacy ID: ORG-003. Source locator and limits: Independent editorial profile identifies PowerLabs as a Lagos-based energy and climate-tech startup founded in Nigeria and describes its orchestration focus.
asrt_0bb77ef92e9708c3,product,prod_001,lifecycle_status,active,src_3cbec379ee14aa70,independently_evidenced,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,AI-assisted source review candidate; human editorial approval required. Legacy ID: PROD-001. Source locator and limits: Proparco names CAIMS as BPS’s field-mapping and digital-twin building block and documents its current use in Abuja.
asrt_0d09d9d1b2701639,deployment,dep_001,product_id,prod_001,src_3cbec379ee14aa70,independently_evidenced,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,"AI-assisted source review candidate; human editorial approval required. Legacy ID: DEP-001. Source locator and limits: Proparco’s Abuja report names CAIMS, BPS and AEDC and describes the live field-mapping/digital-twin implementation. Includes comment from AEDC’s Director of Regulation and Efficiency."
asrt_180dc26ba963b405,product,prod_005,description,"Energy monitoring, analytics, sizing optimisation, anomaly detection and multi-source orchestration",src_8d5a439422f50474,provider_claim_only,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,AI-assisted source review candidate; human editorial approval required. Legacy ID: PROD-005. Source locator and limits: Provider page supports current product functions and contact-sales access.
asrt_1aaa9a19e288823a,organisation,org_003,origin_classification,africa_built,src_b0a509af628fb050,independently_evidenced,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,AI-assisted source review candidate; human editorial approval required. Legacy ID: ORG-003. Source locator and limits: Independent editorial profile identifies PowerLabs as a Lagos-based energy and climate-tech startup founded in Nigeria and describes its orchestration focus.
asrt_1bfadeaf008f8b40,deployment,dep_003,location_precision,country,src_91c1fac8b3e57eb7,independently_evidenced,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,"AI-assisted source review candidate; human editorial approval required. Legacy ID: DEP-003. Source locator and limits: Digital Energy states that PAM-AI created demand-side-response programmes for KEDCO in Nigeria and labels the 2025 project a scale-up with active deployments. This is programme evidence, not customer confirmation."
asrt_1d529a17d6b67d99,organisation,org_001,website,https://beaconpowerservices.com/,src_792d6f5e54ae6a49,provider_claim_only,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,AI-assisted source review candidate; human editorial approval required. Legacy ID: ORG-001. Source locator and limits: Canonical provider website only.
asrt_1df6fc6ce8f98ee9,product,prod_005,launched_year,2025,src_b0a509af628fb050,independently_evidenced,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,"AI-assisted source review candidate; human editorial approval required. Legacy ID: PROD-005. Source locator and limits: Independent article names Pai Enterprise, describes the hybrid energy orchestration layer and reports a June 2025 launch."
asrt_1eb7316e70097b01,organisation,org_001,country_of_origin,NG,src_3cbec379ee14aa70,independently_evidenced,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,AI-assisted source review candidate; human editorial approval required. Legacy ID: ORG-001. Source locator and limits: The report identifies BPS as an African energy-technology start-up operating in Nigeria and describes its grid-management software. The single-country headquarters field remains unresolved.
asrt_246a7c5ed464a001,deployment,dep_003,product_id,prod_004,src_91c1fac8b3e57eb7,independently_evidenced,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,"AI-assisted source review candidate; human editorial approval required. Legacy ID: DEP-003. Source locator and limits: Digital Energy states that PAM-AI created demand-side-response programmes for KEDCO in Nigeria and labels the 2025 project a scale-up with active deployments. This is programme evidence, not customer confirmation."
asrt_377ef583561a6506,product,prod_003,lifecycle_status,active,src_3cbec379ee14aa70,independently_evidenced,ai_assisted_research,batch_001_source_review_2026_07_30,,,,,"AI-assisted source review candidate; human editorial approval required. Legacy ID: PROD-003. Source locator and limits: Proparco names Xepp and describes consumption tracking, transactions and renewable-energy offers."
