id,subject_type,subject_id,predicate,value,source_id,evidence_status,extracted_by,extractor_run_id,reviewed_by,reviewed_at,valid_from,valid_to,notes
asrt_bulk_01685fdddf97710f,product,prod_5c44515448aa55ab,website,https://steama.co/products,src_3fed97da9ebf5a38,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: SteamaCo Product Suite, 'ThunderBolt' field-force app product block."
asrt_bulk_0cb816d58e1bfd7e,product,prod_76e1cb9631e5da42,access_model,commercial,src_1fd4de155f438bff,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,Human reviewed. Source locator: FAQ answer to 'Where can I swap batteries' states that cabinets are deployed across Nairobi and can be found using the mobile app.
asrt_bulk_0f911778afb0ed8d,product,prod_5c44515448aa55ab,lifecycle_status,active,src_3fed97da9ebf5a38,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: SteamaCo Product Suite, 'ThunderBolt' field-force app product block."
asrt_bulk_116b3ff4841abfa2,product,prod_76e1cb9631e5da42,sector_id,sector_emobility_batteries,src_1fd4de155f438bff,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,Human reviewed. Source locator: FAQ answer to 'Where can I swap batteries' states that cabinets are deployed across Nairobi and can be found using the mobile app.
asrt_bulk_12455133b37b6b42,product,prod_83e8647b12c0f40a,lifecycle_status,under_review,src_a1861482fff6a50d,independently_evidenced,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Sections 'Connecting Displaced Communities' and 'Powering Business', especially the introduction of SparkMeter prepaid meters and transfer of remaining connections to BECO."
asrt_bulk_12df1ce1c1998eef,organisation,org_7e4e5bedaec641be,headquarters_country,US,src_a1861482fff6a50d,independently_evidenced,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Sections 'Connecting Displaced Communities' and 'Powering Business', especially the introduction of SparkMeter prepaid meters and transfer of remaining connections to BECO."
asrt_bulk_132dc7c1bab9baf7,product,prod_7dc0a9bb41944d44,organisation_id,org_36577bb3608ee5a3,src_0a4fa31247a1d3c3,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,Human reviewed. Source locator: Technology page section on the Driver App describes checking battery level and finding a swap station.
asrt_bulk_136a5238f98e88e2,organisation,org_406033f114a69ab6,website,https://pylonump.com/,src_c70678946460cecc,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Products section, 'Utility Management Platform'; Contacts section gives the Giza, Egypt address."
asrt_bulk_15b1364db7498d31,product,prod_7dc0a9bb41944d44,primary_category_id,cat_emobility_battery_networks,src_0a4fa31247a1d3c3,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,Human reviewed. Source locator: Technology page section on the Driver App describes checking battery level and finding a swap station.
asrt_bulk_18ec429f8685b401,product,prod_a3b8555b0b37b5d2,description,Fleet and battery-network management software using predictive analytics to optimise battery lifespan.,src_06e5f378dc49db18,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Our Technology section names AmperOps and describes fleet-management, telemetry and predictive battery-lifespan optimisation."
asrt_bulk_1aa90b40bf4d8e53,product,prod_39480c97b0739c3c,lifecycle_status,active,src_c70678946460cecc,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Products section, 'Utility Management Platform'; Contacts section gives the Giza, Egypt address."
asrt_bulk_1ce31c72a9561de1,product,prod_5c44515448aa55ab,organisation_id,org_e7a91741bca86f28,src_3fed97da9ebf5a38,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: SteamaCo Product Suite, 'ThunderBolt' field-force app product block."
asrt_bulk_1ea746be650fdbd2,organisation,org_36577bb3608ee5a3,website,https://www.ampersand.energy/,src_06e5f378dc49db18,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Our Technology section names AmperOps and describes fleet-management, telemetry and predictive battery-lifespan optimisation."
asrt_bulk_22f9cf71ad81a1b1,product,prod_7dc0a9bb41944d44,access_model,commercial,src_0a4fa31247a1d3c3,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,Human reviewed. Source locator: Technology page section on the Driver App describes checking battery level and finding a swap station.
asrt_bulk_25cca13ec3dcb3f5,product,prod_39480c97b0739c3c,organisation_id,org_406033f114a69ab6,src_c70678946460cecc,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Products section, 'Utility Management Platform'; Contacts section gives the Giza, Egypt address."
asrt_bulk_2b12876554386866,product,prod_39480c97b0739c3c,sector_id,sector_power_utilities,src_c70678946460cecc,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Products section, 'Utility Management Platform'; Contacts section gives the Giza, Egypt address."
asrt_bulk_301340bc0577168a,product,prod_83e8647b12c0f40a,name,SparkMeter digital grid and smart-metering platform,src_a1861482fff6a50d,independently_evidenced,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Sections 'Connecting Displaced Communities' and 'Powering Business', especially the introduction of SparkMeter prepaid meters and transfer of remaining connections to BECO."
asrt_bulk_3e45b3ac524c5799,organisation,org_e7a91741bca86f28,headquarters_country,GB,src_d20623b62099ccd7,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,Human reviewed. Source locator: Sections 'ATC&C Loss Detection & Resolution' and 'How it works'.
asrt_bulk_40eaffa5ae1e732f,product,prod_a3b8555b0b37b5d2,sector_id,sector_emobility_batteries,src_06e5f378dc49db18,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Our Technology section names AmperOps and describes fleet-management, telemetry and predictive battery-lifespan optimisation."
asrt_bulk_421991dff6e6ca7f,organisation,org_7e4e5bedaec641be,country_of_origin,US,src_a1861482fff6a50d,independently_evidenced,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Sections 'Connecting Displaced Communities' and 'Powering Business', especially the introduction of SparkMeter prepaid meters and transfer of remaining connections to BECO."
asrt_bulk_42841ad70a6a09ea,organisation,org_36577bb3608ee5a3,country_of_origin,RW,src_06e5f378dc49db18,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Our Technology section names AmperOps and describes fleet-management, telemetry and predictive battery-lifespan optimisation."
asrt_bulk_43d35122848a65e0,organisation,org_406033f114a69ab6,country_of_origin,EG,src_c70678946460cecc,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Products section, 'Utility Management Platform'; Contacts section gives the Giza, Egypt address."
asrt_bulk_4618de845794ac11,product,prod_83e8647b12c0f40a,description,"Smart-metering and digital-grid platform supporting billing, loss detection, network monitoring, transformer analysis and distribution planning.",src_a1861482fff6a50d,independently_evidenced,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Sections 'Connecting Displaced Communities' and 'Powering Business', especially the introduction of SparkMeter prepaid meters and transfer of remaining connections to BECO."
asrt_bulk_47a13b9c23a3977d,deployment,dep_621d5c7586b993f8,customer_name,Baidoa Electric Company (BECO),src_a1861482fff6a50d,independently_evidenced,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Sections 'Connecting Displaced Communities' and 'Powering Business', especially the introduction of SparkMeter prepaid meters and transfer of remaining connections to BECO."
asrt_bulk_47f2ad0f300b9ef6,organisation,org_e7a91741bca86f28,headquarters_country,GB,src_3fed97da9ebf5a38,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: SteamaCo Product Suite, 'ThunderBolt' field-force app product block."
asrt_bulk_47fc5346aa71357a,product,prod_39480c97b0739c3c,website,https://pylonump.com/?lang=en,src_c70678946460cecc,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Products section, 'Utility Management Platform'; Contacts section gives the Giza, Egypt address."
asrt_bulk_4c9952db30ec5824,organisation,org_7e4e5bedaec641be,name,SparkMeter / EarthSpark International,src_a1861482fff6a50d,independently_evidenced,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Sections 'Connecting Displaced Communities' and 'Powering Business', especially the introduction of SparkMeter prepaid meters and transfer of remaining connections to BECO."
asrt_bulk_52057efe9cb51cae,product,prod_39480c97b0739c3c,access_model,commercial,src_c70678946460cecc,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Products section, 'Utility Management Platform'; Contacts section gives the Giza, Egypt address."
asrt_bulk_556a1c2d9f4e1e04,product,prod_5c44515448aa55ab,primary_category_id,cat_distribution_utility_operations,src_3fed97da9ebf5a38,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: SteamaCo Product Suite, 'ThunderBolt' field-force app product block."
asrt_bulk_5f8939dc693d18f0,deployment,dep_621d5c7586b993f8,started_year,2024,src_a1861482fff6a50d,independently_evidenced,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Sections 'Connecting Displaced Communities' and 'Powering Business', especially the introduction of SparkMeter prepaid meters and transfer of remaining connections to BECO."
asrt_bulk_602ae216e531f7b3,organisation,org_7e4e5bedaec641be,origin_classification,global_deployed_in_africa,src_a1861482fff6a50d,independently_evidenced,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Sections 'Connecting Displaced Communities' and 'Powering Business', especially the introduction of SparkMeter prepaid meters and transfer of remaining connections to BECO."
asrt_bulk_612a2e1684c68a57,product,prod_5c44515448aa55ab,access_model,commercial,src_3fed97da9ebf5a38,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: SteamaCo Product Suite, 'ThunderBolt' field-force app product block."
asrt_bulk_61349cfb6d5bebcf,organisation,org_a05bce318bbf4ea0,origin_classification,africa_built,src_1fd4de155f438bff,provider_claim_only,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,Human reviewed. Source locator: FAQ answer to 'Where can I swap batteries' states that cabinets are deployed across Nairobi and can be found using the mobile app.
asrt_bulk_66e4659f3afd2c66,product,prod_83e8647b12c0f40a,primary_category_id,cat_distribution_utility_operations,src_a1861482fff6a50d,independently_evidenced,ai_assisted_research,batch_001_release_003,kaykluz,2026-08-02,,,"Human reviewed. Source locator: Sections 'Connecting Displaced Communities' and 'Powering Business', especially the introduction of SparkMeter prepaid meters and transfer of remaining connections to BECO."
