id,entity_type,entity_id,field_name,old_value,new_value,changed_at,changed_by,review_note
chg_09e6c36c8e5fb82e,products,prod_005,last_checked_at,2026-07-24,2026-07-30,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_1f81ccbdbd67621a,products,prod_003,access_model,not_publicly_documented,public_access,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_2202ed06cb4e5ee8,deployments,dep_003,location_precision,utility_territory,country,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_224857870b772707,organisations,org_002,website,https://pamafrica.com/,https://www.pamafrica.com/,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_234d350bef9f761c,deployments,dep_004,subnational_area,Multiple mini-grid sites,,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_2362148267c910a4,products,prod_004,website,,https://www.pamafrica.com/,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_276fd4e8ce6594f8,deployments,dep_003,subnational_area,Northern Nigeria,,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_3fa69bb0446becee,products,prod_003,website,https://beaconpowerservices.com/,https://www.beaconpowerservices.com/en/solutions/xepp,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_448084cf493daeff,organisations,org_001,last_checked_at,2026-07-24,2026-07-30,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_4aac347a585b1d93,deployments,dep_001,last_checked_at,2026-07-24,2026-07-30,2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
chg_4cec78cbe31d924c,organisations,org_003,description,"Hybrid power orchestration for grid, solar, batteries, generators and inverters","Energy intelligence software and hardware for orchestrating grid, solar, batteries and generators",2026-07-30,ai_assisted_research,AI-assisted source review candidate; human editorial approval remains required.
