id,url,title,publisher,source_type,author,publication_date,retrieved_at,archived_url,source_license,independence_class,automation_permitted,notes
src_006b50f09716afd0,https://osemosys-global.readthedocs.io/en/latest/,Welcome to the documentation of OSeMOSYS Global,OSeMOSYS Community,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_02027067a2b6f47d,https://www.prnewswire.com/news-releases/newsbyte-city-of-cape-town-empowers-commercial-and-industrial-customers-with-sap-ami-integration-for-utilities-software-148054465.html,Newsbyte: City of Cape Town Empowers Commercial and Industrial Customers With SAP AMI Integration for Utilities Software,SAP AG via PR Newswire,web,,2012-04-19,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_05e838c776926403,https://digital-energy.eu/en/projects/metavolt-energie-nghezo,Metavolt Énergie & Nghezo | Digital Energy Facility,Digital Energy Facility — AFD Group,web,,,2026-08-02,,all_rights_reserved,customer_or_official,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_06e5f378dc49db18,https://www.ampersand.energy/,Ampersand Energy,Ampersand Energy,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_09a3d01a3a3a8b9a,https://www.energiccharge.com/,EV Charging Management Software | ENERGIC,ENERGIC,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_0a4fa31247a1d3c3,https://www.ampersand.energy/technology,What We Do | Ampersand,Ampersand Energy,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_0aeaf7bbb4111bf3,https://fastvolt.net/,FastVolt - À vous l’expérience unique de l’électrique,FastVolt,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_0b2d11046a03402c,https://mazimobility.com/product.html,Product - Mazi Mobility,Mazi Mobility,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_0b7158369b815d9f,https://www.aveva.com/en/perspectives/presentations/2022/centralized-real-time-monitoring-project-at-taqa-emc/,Centralized real-time monitoring project at TAQA EMC,AVEVA,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_0df75f7550839b7c,https://www.kofa.co/solutions,Solutions | Kofa,Kofa Technologies,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_0e2b17c179cb2014,https://ontec.co.za/technology/,"Technology, smart metering, prepayment, revenue protection, vending",Ontec Systems,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_19cbb51c9737fa08,https://cloud.netelek.co.za/,Netelek Cloud,Netelek,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_1aba15c2ac9250fc,https://www.esri.com/en-us/lg/industry/electric-and-gas/stories/uedcl-case-study,GIS Elevates Uganda's UEDCL Mission,Esri,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
src_1fd4de155f438bff,https://arcrideglobal.com/bidii-boda,ARC Ride | Bidii Boda,ARC Ride,web,,,2026-08-02,,all_rights_reserved,provider_authored,false,"Rights treatment: factual metadata, attribution and linking only; source text, imagery and branding are not reused."
